,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
nan_Albania,nan_North Macedonia|nan_Montenegro|nan_Kosovo|nan_Greece|nan_Serbia,nan_North Macedonia|nan_Montenegro|nan_Kosovo|nan_Greece|nan_Serbia|nan_Bosnia and Herzegovina|nan_Bulgaria|nan_Croatia|nan_Holy See|nan_Romania,nan_North Macedonia|nan_Montenegro|nan_Kosovo|nan_Greece|nan_Serbia|nan_Bosnia and Herzegovina|nan_Bulgaria|nan_Croatia|nan_Holy See|nan_Romania|nan_Hungary|nan_Slovenia|nan_San Marino|nan_Italy|nan_Malta|nan_Slovakia|nan_Austria|nan_Moldova|nan_Czechia|nan_Liechtenstein|nan_Monaco|nan_Switzerland|nan_Ukraine|nan_Poland|nan_Tunisia|nan_Turkey|nan_Cyprus|nan_Germany|nan_Luxembourg|nan_Belarus
nan_Algeria,nan_Morocco|nan_Tunisia|Gibraltar_United Kingdom|nan_Mauritania|nan_Mali,nan_Morocco|nan_Tunisia|Gibraltar_United Kingdom|nan_Mauritania|nan_Mali|nan_Niger|nan_Spain|nan_Malta|nan_Western Sahara|nan_Libya,nan_Morocco|nan_Tunisia|Gibraltar_United Kingdom|nan_Mauritania|nan_Mali|nan_Niger|nan_Spain|nan_Malta|nan_Western Sahara|nan_Libya|nan_Portugal|nan_Andorra|nan_Burkina Faso|nan_Monaco|nan_Holy See|nan_Italy|nan_San Marino|nan_France|nan_Benin|nan_Togo|nan_Switzerland|nan_Nigeria|nan_Albania|nan_Greece|nan_Liechtenstein|nan_Senegal|nan_Ghana|nan_Croatia|nan_Chad|nan_Montenegro
nan_Andorra,nan_France|nan_Monaco|nan_Spain|nan_Switzerland|nan_Liechtenstein,nan_France|nan_Monaco|nan_Spain|nan_Switzerland|nan_Liechtenstein|Channel Islands_United Kingdom|nan_Italy|nan_Luxembourg|nan_Portugal|nan_San Marino,nan_France|nan_Monaco|nan_Spain|nan_Switzerland|nan_Liechtenstein|Channel Islands_United Kingdom|nan_Italy|nan_Luxembourg|nan_Portugal|nan_San Marino|nan_Holy See|Gibraltar_United Kingdom|nan_Belgium|nan_Germany|nan_Netherlands|nan_Croatia|nan_Slovenia|nan_Tunisia|nan_Austria|nan_Bosnia and Herzegovina|nan_Malta|nan_Czechia|nan_Ireland|Isle of Man_United Kingdom|nan_Morocco|nan_Montenegro|nan_United Kingdom|nan_Hungary|nan_Albania|nan_Slovakia
nan_Angola,nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Zambia|nan_Namibia|nan_Gabon,nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Zambia|nan_Namibia|nan_Gabon|nan_Botswana|nan_Burundi|nan_Zimbabwe|nan_Equatorial Guinea|nan_Rwanda,nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Zambia|nan_Namibia|nan_Gabon|nan_Botswana|nan_Burundi|nan_Zimbabwe|nan_Equatorial Guinea|nan_Rwanda|nan_Sao Tome and Principe|nan_Malawi|nan_Cameroon|nan_Tanzania|nan_Central African Republic|nan_Uganda|nan_Mozambique|nan_South Africa|nan_Eswatini|Indiana_US|Hawaii_US|Illinois_US|Kansas_US|Idaho_US|Iowa_US|Georgia_US|Arizona_US|District of Columbia_US|Delaware_US|Connecticut_US
nan_Antigua and Barbuda,Montserrat_United Kingdom|Guadeloupe_France|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands,Montserrat_United Kingdom|Guadeloupe_France|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Dominica|Martinique_France|British Virgin Islands_United Kingdom,"Montserrat_United Kingdom|Guadeloupe_France|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Dominica|Martinique_France|British Virgin Islands_United Kingdom|Virgin Islands_US|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Barbados|nan_Belize|Puerto Rico_US|nan_Grenada|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominican Republic|Curacao_Netherlands|Aruba_Netherlands|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Venezuela|nan_Guyana|nan_Suriname|nan_Jamaica|Bermuda_United Kingdom|French Guiana_France"
nan_Argentina,nan_Chile|nan_Uruguay|Falkland Islands (Malvinas)_United Kingdom|nan_Paraguay|nan_Bolivia,nan_Chile|nan_Uruguay|Falkland Islands (Malvinas)_United Kingdom|nan_Paraguay|nan_Bolivia|nan_Brazil|nan_Peru|nan_Ecuador|nan_Suriname|French Guiana_France,"nan_Chile|nan_Uruguay|Falkland Islands (Malvinas)_United Kingdom|nan_Paraguay|nan_Bolivia|nan_Brazil|nan_Peru|nan_Ecuador|nan_Suriname|French Guiana_France|nan_Guyana|nan_Colombia|nan_Venezuela|nan_Trinidad and Tobago|nan_Panama|nan_Grenada|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Saint Vincent and the Grenadines|nan_Costa Rica|nan_Belize|nan_Barbados|nan_Saint Lucia|Martinique_France|nan_Dominica|Guadeloupe_France|nan_Nicaragua|Montserrat_United Kingdom|nan_Antigua and Barbuda"
nan_Armenia,nan_Azerbaijan|nan_Georgia|nan_Iraq|nan_Syria|nan_Turkey,nan_Azerbaijan|nan_Georgia|nan_Iraq|nan_Syria|nan_Turkey|nan_Lebanon|nan_Iran|nan_Cyprus|nan_Kuwait|nan_Jordan,nan_Azerbaijan|nan_Georgia|nan_Iraq|nan_Syria|nan_Turkey|nan_Lebanon|nan_Iran|nan_Cyprus|nan_Kuwait|nan_Jordan|nan_West Bank and Gaza|nan_Israel|nan_Ukraine|nan_Moldova|nan_Bahrain|nan_Uzbekistan|nan_Bulgaria|nan_Qatar|nan_Romania|nan_Saudi Arabia|nan_Afghanistan|nan_Kazakhstan|nan_North Macedonia|nan_United Arab Emirates|nan_Belarus|nan_Greece|nan_Serbia|nan_Kosovo|nan_Egypt|nan_Albania
Australian Capital Territory_Australia,New South Wales_Australia|Victoria_Australia|Tasmania_Australia|Queensland_Australia|South Australia_Australia,New South Wales_Australia|Victoria_Australia|Tasmania_Australia|Queensland_Australia|South Australia_Australia|French Polynesia_France|New Caledonia_France|nan_New Zealand|Western Australia_Australia|Northern Territory_Australia,New South Wales_Australia|Victoria_Australia|Tasmania_Australia|Queensland_Australia|South Australia_Australia|French Polynesia_France|New Caledonia_France|nan_New Zealand|Western Australia_Australia|Northern Territory_Australia|nan_Papua New Guinea|nan_Fiji|nan_Timor-Leste|American Samoa_US|nan_Indonesia|Guam_US|Northern Mariana Islands_US|nan_Malaysia|nan_Brunei|nan_Philippines|nan_Singapore|nan_Cambodia|nan_Vietnam|nan_Taiwan*|Hainan_China|Hong Kong_China|Macau_China|Guangdong_China|nan_Thailand|Fujian_China
New South Wales_Australia,Australian Capital Territory_Australia|Queensland_Australia|Victoria_Australia|Tasmania_Australia|South Australia_Australia,Australian Capital Territory_Australia|Queensland_Australia|Victoria_Australia|Tasmania_Australia|South Australia_Australia|French Polynesia_France|New Caledonia_France|nan_New Zealand|nan_Papua New Guinea|Northern Territory_Australia,Australian Capital Territory_Australia|Queensland_Australia|Victoria_Australia|Tasmania_Australia|South Australia_Australia|French Polynesia_France|New Caledonia_France|nan_New Zealand|nan_Papua New Guinea|Northern Territory_Australia|nan_Fiji|Western Australia_Australia|nan_Timor-Leste|American Samoa_US|Guam_US|nan_Indonesia|Northern Mariana Islands_US|nan_Malaysia|nan_Brunei|nan_Philippines|nan_Singapore|nan_Cambodia|nan_Taiwan*|nan_Vietnam|Hainan_China|Hong Kong_China|Macau_China|Guangdong_China|Fujian_China|nan_Thailand
Northern Territory_Australia,nan_Timor-Leste|nan_Papua New Guinea|French Polynesia_France|nan_Indonesia|nan_Brunei,nan_Timor-Leste|nan_Papua New Guinea|French Polynesia_France|nan_Indonesia|nan_Brunei|South Australia_Australia|nan_Malaysia|Western Australia_Australia|Queensland_Australia|nan_Philippines,nan_Timor-Leste|nan_Papua New Guinea|French Polynesia_France|nan_Indonesia|nan_Brunei|South Australia_Australia|nan_Malaysia|Western Australia_Australia|Queensland_Australia|nan_Philippines|Australian Capital Territory_Australia|Victoria_Australia|New South Wales_Australia|Guam_US|nan_Singapore|Northern Mariana Islands_US|Tasmania_Australia|New Caledonia_France|nan_Cambodia|nan_Vietnam|nan_Taiwan*|Hainan_China|Hong Kong_China|Macau_China|Guangdong_China|nan_Thailand|Fujian_China|Guangxi_China|Jiangxi_China|nan_Laos
